Load model successfully: cls/cls_iter_48042_acc_0.924635.pth
Repeat 255 	 Acc: 0.927066
Repeat 256 	 Acc: 0.927066
Repeat 257 	 Acc: 0.927877
Repeat 258 	 Acc: 0.927066
Repeat 259 	 Acc: 0.927472
Repeat 260 	 Acc: 0.927472
Repeat 261 	 Acc: 0.926661
Repeat 262 	 Acc: 0.923825
Repeat 263 	 Acc: 0.926661
Repeat 264 	 Acc: 0.926256
Repeat 265 	 Acc: 0.927066
Repeat 266 	 Acc: 0.925041
Repeat 267 	 Acc: 0.930308
Repeat 268 	 Acc: 0.925851
Repeat 269 	 Acc: 0.926661
Repeat 270 	 Acc: 0.922204
Repeat 271 	 Acc: 0.925446
Repeat 272 	 Acc: 0.924230
Repeat 273 	 Acc: 0.925446
Repeat 274 	 Acc: 0.923420
Repeat 275 	 Acc: 0.925851
Repeat 276 	 Acc: 0.923825
Repeat 277 	 Acc: 0.929903
Repeat 278 	 Acc: 0.928282
Repeat 279 	 Acc: 0.925446
Repeat 280 	 Acc: 0.929903
Repeat 281 	 Acc: 0.926661
Repeat 282 	 Acc: 0.923825
Repeat 283 	 Acc: 0.927877
Repeat 284 	 Acc: 0.932334
Repeat 285 	 Acc: 0.925041
Repeat 286 	 Acc: 0.928687
Repeat 287 	 Acc: 0.928687
Repeat 288 	 Acc: 0.927066
Repeat 289 	 Acc: 0.925446
Repeat 290 	 Acc: 0.926256
Repeat 291 	 Acc: 0.926256
Repeat 292 	 Acc: 0.927472
Repeat 293 	 Acc: 0.928687
Repeat 294 	 Acc: 0.924635
Repeat 295 	 Acc: 0.927066
Repeat 296 	 Acc: 0.929092
Repeat 297 	 Acc: 0.925041
Repeat 298 	 Acc: 0.923825
Repeat 299 	 Acc: 0.924635
Repeat 300 	 Acc: 0.929498

Best voting acc: 0.932334
